id,Country,health_gold,health_silver,health_bronze,edu_gold,edu_silver,edu_bronze,ImpWater_gold,ImpWater_silver,ImpWater_bronze,Pop_gold,Pop_silver,Pop_bronze,GDP_gold,GDP_silver,GDP_bronze,Income_gold,Income_silver,Income_bronze,Debt_gold,Debt_silver,Debt_bronze,Continent_gold,Continent_silver,Continent_bronze,
AFG,Afghanistan,0,0,43.4,0,0,39,0,0,218,0,0,34385000,0,0,20.34346103,0,0,233,N/A,N/A,N/A,25.25%,20.39%,20.22%,
ALB,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.85%,50.00%,48.60%,
DZA,Algeria,71.97,0,0,85,0,0,70,0,0,35468000,0,0,188.681,0,0,72,0,0,84.93,0,0,3.65%,3.95%,3.09%,
AGO,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
ARG,Argentina,75.08,75.08,37.54,96,96,48,1044,1044,522,40412000,40412000,20206000,445.989,445.989,222.9945,703,703,351.5,112.33,112.33,56.165,1.66%,3.29%,4.49%,
ARM,Armenia,0,71.82,35.91,0,92,46,0,77,38.5,0,3092000,1546000,0,10.247788877,5.1238944385,0,75,37.5,0,57.53,28.765,44.85%,50.00%,48.60%,
AUS,Australia,11.5985714286,5.074375,6.7658333333,14.2857142857,6.25,8.3333333333,68.1428571429,29.8125,39.75,3185571.42857143,1393687.5,1858250,195.9657142857,85.735,114.3133333333,72.8571428571,31.875,42.5,18.3957142857,8.048125,10.7308333333,4.65%,6.25%,5.06%,
AUT,Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.85%,50.00%,48.60%,
AZE,Azerbaijan,33.665,33.665,11.2216666667,38.5,38.5,12.8333333333,51.5,51.5,17.1666666667,4527000,4527000,1509000,31.701825373,31.701825373,10.5672751243,51.5,51.5,17.1666666667,21.92,21.92,7.3066666667,44.85%,50.00%,48.60%,
BGD,Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.25%,20.39%,20.22%,
BLR,Belarus,34.435,13.774,13.774,50,20,20,130.5,52.2,52.2,4745000,1898000,1898000,27.5680720185,11.0272288074,11.0272288074,147.5,59,59,45.205,18.082,18.082,44.85%,50.00%,48.60%,
BEL,Belgium,0,79.2,39.6,N/A,N/A,N/A,0,406,203,0,10896000,5448000,0,511.533,255.7665,0,353,176.5,0,150.69,75.345,44.85%,50.00%,48.60%,
BLZ,Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.93%,15.13%,16.01%,
BEN,Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
BMU,Bermuda,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,N/A,N/A,N/A,0,0,0,19.93%,15.13%,16.01%,
BTN,Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,25.25%,20.39%,20.22%,
BOL,Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66%,3.29%,4.49%,
BIH,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.85%,50.00%,48.60%,
BWA,Botswana,0,49.7,0,0,95,0,0,16,0,0,2007000,0,0,17.627441191,0,0,16,0,0,68.49,0,3.65%,3.95%,3.09%,
BRA,Brazil,24.0133333333,14.408,8.0044444444,30,18,10,1108.6666666667,665.2,369.5555555556,64982000,38989200,21660666.6666667,825.55,495.33,275.1833333333,740,444,246.6666666667,51.1433333333,30.686,17.0477777778,1.66%,3.29%,4.49%,
BRN,Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.25%,20.39%,20.22%,
BGR,Bulgaria,0,72.52,72.52,0,99,99,0,473,473,0,7534000,7534000,0,53.51409836,53.51409836,0,304,304,0,79.45,79.45,44.85%,50.00%,48.60%,
BFA,Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
MMR,Burma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.25%,20.39%,20.22%,
BDI,Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
KHM,Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.25%,20.39%,20.22%,
CMR,Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
CAN,Canada,80.36,16.072,6.6966666667,100,20,8.3333333333,845,169,70.4166666667,34126000,6825200,2843833.33333333,1736.05,347.21,144.6708333333,855,171,71.25,172.6,34.52,14.3833333333,19.93%,15.13%,16.01%,
CAF,Central African Republic,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
TCD,Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
CHL,Chile,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66%,3.29%,4.49%,
CHN,China,1.9139473684,2.6937037037,3.162173913,2.0263157895,2.8518518519,3.347826087,6126.2105263158,8622.0740740741,10121.5652173913,35218421.0526316,49566666.6666667,58186956.5217391,192.0552631579,270.3,317.3086956522,6602.8157894737,9292.8518518519,10909,0.5768421053,0.8118518519,0.9530434783,25.25%,20.39%,20.22%,
COL,Colombia,72.59,24.1966666667,18.1475,93,31,23.25,1091,363.6666666667,272.75,46295000,15431666.6666667,11573750,331.655,110.5516666667,82.91375,476,158.6666666667,119,134.25,44.75,33.5625,1.66%,3.29%,4.49%,
COG,Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
CRI,Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.93%,15.13%,16.01%,
CIV,Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
HRV,Croatia,25.1766666667,75.53,37.765,33.3333333333,100,50,82.3333333333,247,123.5,1472666.66666667,4418000,2209000,21.2833560673,63.850068202,31.925034101,82,246,123,54.7933333333,164.38,82.19,44.85%,50.00%,48.60%,
CUB,Cuba,15.598,25.9966666667,12.9983333333,18.2,30.3333333333,15.1666666667,60,100,50,2251600,3752666.66666667,1876333.33333333,12.82,21.3666666667,10.6833333333,61,101.6666666667,50.8333333333,23.562,39.27,19.635,19.93%,15.13%,16.01%,
CYP,Cyprus,0,79.02,0,0,100,0,0,18,0,0,659350,0,0,24.689602446,0,0,19,0,0,128.77,0,44.85%,50.00%,48.60%,
CZE,Czech Republic,N/A,N/A,N/A,25,33.3333333333,33.3333333333,143.75,191.6666666667,191.6666666667,2630000,3506666.66666667,3506666.66666667,53.80375,71.7383333333,71.7383333333,133.25,177.6666666667,177.6666666667,35.6175,47.49,47.49,44.85%,50.00%,48.60%,
COD,Democratic Republic of the Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
DNK,Denmark,39.16,19.58,26.1066666667,50,25,33.3333333333,76,38,50.6666666667,2773500,1386750,1849000,166.3385,83.16925,110.8923333333,93.5,46.75,62.3333333333,79.45,39.725,52.9666666667,44.85%,50.00%,48.60%,
DJI,Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
DOM,Dominican Republic,N/A,N/A,N/A,95,95,0,328,328,0,9927000,9927000,0,55.611245616,55.611245616,0,236,236,0,109.59,109.59,0,19.93%,15.13%,16.01%,
ECU,Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66%,3.29%,4.49%,
EGY,Egypt,N/A,N/A,N/A,0,49,0,0,657,0,0,40560500,0,0,114.7655,0,0,666,0,0,38.355,0,3.65%,3.95%,3.09%,
SLV,El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.93%,15.13%,16.01%,
GNQ,Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,3.65%,3.95%,3.09%,
ERI,Eritrea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
EST,Estonia,0,72.96,72.96,0,100,100,0,32,32,0,1340000,1340000,0,22.184722472,22.184722472,0,38,38,0,167.12,167.12,44.85%,50.00%,48.60%,
ETH,Ethiopia,17.4633333333,52.39,17.4633333333,7.3333333333,22,7.3333333333,1193.3333333333,3580,1193.3333333333,27650000,82950000,27650000,10.569616011,31.708848033,10.569616011,1213,3639,1213,3.6533333333,10.96,3.6533333333,3.65%,3.95%,3.09%,
FJI,Fiji,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.65%,6.25%,5.06%,
FIN,Finland,0,79.09,39.545,0,100,50,0,175,87.5,0,5364000,2682000,0,266.071,133.0355,0,138,69,0,93.15,46.575,44.85%,50.00%,48.60%,
FRA,France,7.3181818182,7.3181818182,6.7083333333,9.0909090909,9.0909090909,8.3333333333,499.8181818182,499.8181818182,458.1666666667,5899545.45454545,5899545.45454545,5407916.66666667,252.0936363636,252.0936363636,231.0858333333,433.3636363636,433.3636363636,397.25,9.9627272727,9.9627272727,9.1325,44.85%,50.00%,48.60%,
GAB,Gabon,0,56.74,0,0,88,0,0,60,0,0,1505000,0,0,17.051616749,0,0,61,0,0,46.58,0,3.65%,3.95%,3.09%,
GMB,Gambia,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
GEO,Georgia,70.86,23.62,23.62,82,27.3333333333,27.3333333333,253,84.3333333333,84.3333333333,4452000,1484000,1484000,14.366566609,4.7888555363,4.7888555363,246,82,82,90.41,30.1366666667,30.1366666667,44.85%,50.00%,48.60%,
DEU,Germany,7.2236363636,4.1821052632,5.6757142857,9.0909090909,5.2631578947,7.1428571429,315.8181818182,182.8421052632,248.1428571429,7434272.72727273,4304052.63157895,5841214.28571429,324.5963636364,187.9242105263,255.04,258.4545454545,149.6315789474,203.0714285714,11.2081818182,6.4889473684,8.8064285714,44.85%,50.00%,48.60%,
GHA,Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
GRC,Greece,0,0,39.59,N/A,0,0,0,0,583,0,0,5658000,0,0,149.367,0,0,632.5,0,0,47.945,44.85%,50.00%,48.60%,
GTM,Guatemala,0,69.94,0,0,95,0,0,146,0,0,14389000,0,0,46.900000257,0,0,153,0,0,109.59,0,19.93%,15.13%,16.01%,
GIN,Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
GNB,Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
GUY,Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66%,3.29%,4.49%,
HTI,Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.93%,15.13%,16.01%,
HND,Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.93%,15.13%,16.01%,
HUN,Hungary,9.12125,18.2425,14.594,12.375,24.75,19.8,68.75,137.5,110,1250000,2500000,2000000,17.503625,35.00725,28.0058,84.625,169.25,135.4,15.41125,30.8225,24.658,44.85%,50.00%,48.60%,
ISL,Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.85%,50.00%,48.60%,
IDN,Indonesia,0,70.13,70.13,0,77,77,0,8632,8632,0,239870000,239870000,0,846.832,846.832,0,9155,9155,0,43.84,43.84,4.65%,6.25%,5.06%,
IRN,Iran (Islamic Republic of),N/A,0,0,23.5,18.8,31.3333333333,75.5,60.4,100.6666666667,18493250,14794600,24657666.6666667,96.6675,77.334,128.89,80.5,64.4,107.3333333333,17.8075,14.246,23.7433333333,25.25%,20.39%,20.22%,
IRQ,Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,25.25%,20.39%,20.22%,
IRL,Ireland,78.61,78.61,26.2033333333,N/A,N/A,N/A,84,84,28,4475000,4475000,1491666.66666667,217.275,217.275,72.425,54,54,18,115.07,115.07,38.3566666667,44.85%,50.00%,48.60%,
ISR,Israel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.25%,20.39%,20.22%,
ITA,Italy,10.1075,8.9844444444,7.3509090909,N/A,N/A,N/A,850.5,756,618.5454545455,7560375,6720333.33333333,5498454.54545455,274.34375,243.8611111111,199.5227272727,1033.375,918.5555555556,751.5454545455,10.61625,9.4366666667,7.7209090909,44.85%,50.00%,48.60%,
JAM,Jamaica,18.11,18.11,18.11,23.25,23.25,23.25,11,11,11,675500,675500,675500,3.7674418605,3.7674418605,3.7674418605,11.75,11.75,11.75,36.9875,36.9875,36.9875,19.93%,15.13%,16.01%,
JPN,Japan,11.7528571429,5.8764285714,4.8394117647,14.2857142857,7.1428571429,5.8823529412,3602,1801,1483.1764705882,18207285.7142857,9103642.85714286,7497117.64705882,838.1642857143,419.0821428571,345.1264705882,3895.8571428572,1947.9285714286,1604.1764705882,10.9585714286,5.4792857143,4.5123529412,25.25%,20.39%,20.22%,
JOR,Jordan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.25%,20.39%,20.22%,
