id,Country,health_gold,health_silver,health_bronze,edu_gold,edu_silver,edu_bronze,ImpWater_gold,ImpWater_silver,ImpWater_bronze,Pop_gold,Pop_silver,Pop_bronze,GDP_gold,GDP_silver,GDP_bronze,Income_gold,Income_silver,Income_bronze,Debt_gold,Debt_silver,Debt_bronze,Continent_gold,Continent_silver,Continent_bronze,
KAZ,Kazakhstan,9.4957142857,66.47,13.294,12.2857142857,86,17.2,111,777,155.4,2331857.14285714,16323000,3264600,26.5997142857,186.198,37.2396,114.7142857143,803,160.6,10.1757142857,71.23,14.246,25.25%,20.39%,20.22%,
KEN,Kenya,26.665,13.3325,10.666,30.5,15.25,12.2,406.5,203.25,162.6,20256500,10128250,8102600,16.810342008,8.405171004,6.7241368032,413.5,206.75,165.4,27.4,13.7,10.96,3.65%,3.95%,3.09%,
PRK,Korea,2,17.075,0,34.15,N/A,N/A,N/A,617,0,1234,6147280.5,0,12294561,3.07,0,6.14,814,0,1628,3978,0,7956,25.25%,20.39%,20.22%
KOR,Korea,7,N/A,N/A,N/A,3.3461538462,5.4375,6.2142857143,39.7307692308,64.5625,73.7857142857,3759615.38461538,6109375,6982142.85714286,85.8653846154,139.53125,159.4642857143,52.6538461538,85.5625,97.7857142857,550.6153846154,894.75,1022.5714285714,25.25%,20.39%,20.22%
KWT,Kuwait,0,0,77.42,N/A,N/A,N/A,0,0,52,0,0,2736000,0,0,176.59,0,0,54,0,0,101.37,25.25%,20.39%,20.22%,
KGZ,Kyrgyzstan,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.25%,20.39%,20.22%,
LAO,Lao People's Democratic Republic,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.25%,20.39%,20.22%,
LVA,Latvia,71.25,0,71.25,99,0,99,68,0,68,2239000,0,2239000,28.252498853,0,28.252498853,57,0,57,93.15,0,93.15,44.85%,50.00%,48.60%,
LBN,Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.25%,20.39%,20.22%,
LSO,Lesotho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
LBR,Liberia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
LBY,Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
LTU,Lithuania,35.78,71.56,35.78,N/A,N/A,N/A,44,88,44,1643500,3287000,1643500,21.3627020275,42.725404055,21.3627020275,36.5,73,36.5,53.425,106.85,53.425,44.85%,50.00%,48.60%,
LUX,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,44.85%,50.00%,48.60%,
MDG,Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
MWI,Malawi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
MYS,Malaysia,0,73.94,73.94,0,99,99,0,839,839,0,28401000,28401000,0,278.671,278.671,0,888,888,0,112.33,112.33,25.25%,20.39%,20.22%,
MLI,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
MLT,Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.85%,50.00%,48.60%,
MRT,Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
MEX,Mexico,75.87,25.29,25.29,97,32.3333333333,32.3333333333,2361,787,787,113423000,37807666.6666667,37807666.6666667,1155.32,385.1066666667,385.1066666667,1672,557.3333333333,557.3333333333,131.51,43.8366666667,43.8366666667,19.93%,15.13%,16.01%,
MNG,Mongolia,0,33.18,22.12,0,31,20.6666666667,0,323,215.3333333333,0,1378000,918666.666666667,0,4.278764955,2.85250997,0,343.5,229,0,16.44,10.96,25.25%,20.39%,20.22%,
MNE,Montenegro,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,632000,0,0,4.550463278,0,N/A,N/A,N/A,N/A,N/A,N/A,44.85%,50.00%,48.60%,
MAR,Morocco,0,0,70.78,0,0,81,0,0,120,0,0,31951000,0,0,100.221,0,0,121,0,0,98.63,3.65%,3.95%,3.09%,
MOZ,Mozambique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
NAM,Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
NPL,Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.25%,20.39%,20.22%,
NLD,Netherlands,13.275,13.275,9.95625,16.6666666667,16.6666666667,12.5,49.6666666667,49.6666666667,37.25,2769333.33333333,2769333.33333333,2077000,139.3761666667,139.3761666667,104.532125,34.5,34.5,25.875,23.745,23.745,17.80875,44.85%,50.00%,48.60%,
NZL,New Zealand,13.3233333333,39.97,15.988,16.1666666667,48.5,19.4,15.8333333333,47.5,19,728000,2184000,873600,23.5676666667,70.703,28.2812,18.6666666667,56,22.4,27.3966666667,82.19,32.876,4.65%,6.25%,5.06%,
NIC,Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.93%,15.13%,16.01%,
NER,Niger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
NGA,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
NOR,Norway,40.145,80.29,80.29,50,100,100,35,70,70,2444500,4889000,4889000,242.9015,485.803,485.803,42.5,85,85,60.275,120.55,120.55,44.85%,50.00%,48.60%,
OMN,Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,25.25%,20.39%,20.22%,
PAK,Pakistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.25%,20.39%,20.22%,
PAN,Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.93%,15.13%,16.01%,
PNG,Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,4.65%,6.25%,5.06%,
PRY,Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66%,3.29%,4.49%,
PER,Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66%,3.29%,4.49%,
PHL,Philippines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.25%,20.39%,20.22%,
POL,Poland,37.575,37.575,12.525,N/A,N/A,N/A,522.5,522.5,174.1666666667,19092000,19092000,6364000,257.248,257.248,85.7493333333,425.5,425.5,141.8333333333,61.645,61.645,20.5483333333,44.85%,50.00%,48.60%,
PRT,Portugal,0,78.18,0,N/A,N/A,N/A,0,434,0,0,10638000,0,0,237.522,0,0,428,0,0,93.15,0,44.85%,50.00%,48.60%,
PRI,Puerto Rico,0,78.5,78.5,N/A,N/A,N/A,0,63.5,63.5,0,3978000,3978000,0,99.202,99.202,0,64,64,N/A,N/A,N/A,1.66%,3.29%,4.49%,
QAT,Qatar,0,0,37.63,0,0,50,0,0,14,0,0,879500,0,0,86.491,0,0,14.5,N/A,N/A,N/A,25.25%,20.39%,20.22%,
MDA,Republic of Moldova,0,0,34.315,0,0,46,0,0,90.5,0,0,1781000,0,0,3.5001593385,0,0,122,0,0,41.095,44.85%,50.00%,48.60%,
SRB,Republic of Serbia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7291000,7291000,3645500,45.043430299,45.043430299,22.5217151495,N/A,N/A,N/A,N/A,N/A,N/A,44.85%,50.00%,48.60%,
ROU,Romania,36.095,14.438,36.095,28.5,11.4,28.5,686.5,274.6,686.5,10719000,4287600,10719000,89.897,35.9588,89.897,771,308.4,771,35.615,14.246,35.615,44.85%,50.00%,48.60%,
RUS,Russia,N/A,N/A,N/A,4.0416666667,3.7307692308,3.03125,193.875,178.9615384615,145.40625,5906250,5451923.07692308,4429687.5,77.4070833333,71.4526923077,58.0553125,154.6666666667,142.7692307692,116,5.0229166667,4.6365384615,3.7671875,44.85%,50.00%,48.60%,
RWA,Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
SAU,Saudi Arabia,0,0,72.49,0,0,95.7,0,0,915,0,0,27448000,0,0,576.824,0,0,967,0,0,73.97,25.25%,20.39%,20.22%,
SEN,Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
SLE,Sierra Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
SVK,Slovakia,0,74.19,24.73,0,100,33.3333333333,0,211,70.3333333333,0,5430000,1810000,0,95.994147901,31.9980493003,0,208,69.3333333333,0,84.93,28.31,44.85%,50.00%,48.60%,
SVN,Slovenia,77.6,77.6,38.8,N/A,N/A,N/A,93,93,46.5,2049000,2049000,1024500,49.539271105,49.539271105,24.7696355525,74,74,37,41.1,41.1,20.55,44.85%,50.00%,48.60%,
SOM,Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,3.65%,3.95%,3.09%,
ZAF,South Africa,16.7833333333,25.175,50.35,29.3333333333,44,88,262,393,786,16663666.6666667,24995500,49991000,136.079,204.1185,408.237,275.6666666667,413.5,827,30.1366666667,45.205,90.41,3.65%,3.95%,3.09%,
ESP,Spain,26.76,8.028,20.07,33.3333333333,10,25,966,289.8,724.5,15357000,4607100,11517750,496.9366666667,149.081,372.7025,1009,302.7,756.75,31.05,9.315,23.2875,44.85%,50.00%,48.60%,
LKA,Sri Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.25%,20.39%,20.22%,
SDN,Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
SUR,Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66%,3.29%,4.49%,
SWZ,Swaziland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
SWE,Sweden,80.75,20.1875,26.9166666667,100,25,33.3333333333,348,87,116,9378000,2344500,3126000,538.131,134.53275,179.377,298,74.5,99.3333333333,128.77,32.1925,42.9233333333,44.85%,50.00%,48.60%,
CHE,Switzerland,40.72,40.72,0,50,50,0,189,189,0,3913000,3913000,0,317.825,317.825,0,189.5,189.5,0,82.19,82.19,0,44.85%,50.00%,48.60%,
SYR,Syria,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.25%,20.39%,20.22%,
TJK,Tajikistan,0,0,66.47,0,0,59,0,0,73,0,0,6879000,0,0,6.522200291,0,0,72,0,0,41.1,25.25%,20.39%,20.22%,
THA,Thailand,0,35.05,70.1,0,49.5,99,0,4915.5,9831,0,34561000,69122000,0,172.8245,345.649,0,5097.5,10195,0,43.835,87.67,25.25%,20.39%,20.22%,
BHS,The Bahamas,N/A,N/A,N/A,97,0,0,5,0,0,343000,0,0,7.787514,0,0,4,0,0,126.03,0,0,19.93%,15.13%,16.01%,
MKD,The former Yugoslav Republic of Macedonia,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.85%,50.00%,48.60%,
TGO,Togo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
TTO,Trinidad and Tobago,69.61,0,23.2033333333,91,0,30.3333333333,11,0,3.6666666667,1341000,0,447000,22.483115868,0,7.494371956,9,0,3,156.16,0,52.0533333333,19.93%,15.13%,16.01%,
TUN,Tunisia,73.7,73.7,73.7,93,93,93,99,99,99,10549000,10549000,10549000,45.8638048,45.8638048,45.8638048,100,100,100,95.89,95.89,95.89,3.65%,3.95%,3.09%,
TUR,Turkey,35.77,35.77,71.54,48,48,96,336,336,672,36376000,36376000,72752000,386.5455,386.5455,773.091,356.5,356.5,713,32.875,32.875,65.75,25.25%,20.39%,20.22%,
TKM,Turkmenistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.25%,20.39%,20.22%,
UGA,Uganda,50.61,0,0,60,0,0,362,0,0,33424000,0,0,16.809623489,0,0,369,0,0,24.66,0,0,3.65%,3.95%,3.09%,
UKR,Ukraine,11.2183333333,13.462,7.4788888889,16,19.2,10.6666666667,220,264,146.6666666667,7645166.66666667,9174200,5096777.77777778,27.5408333333,33.049,18.3605555556,213.6666666667,256.4,142.4444444444,20.0916666667,24.11,13.3944444444,44.85%,50.00%,48.60%,
ARE,United Arab Emirates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.25%,20.39%,20.22%,
GBR,United Kingdom,2.7306896552,4.6582352941,4.1678947368,3.4482758621,5.8823529412,5.2631578947,47.2068965517,80.5294117647,72.0526315789,2145931.03448276,3660705.88235294,3275368.42105263,83.8479310345,143.0347058824,127.9784210526,54.7931034483,93.4705882353,83.6315789474,3.8734482759,6.6076470588,5.9121052632,44.85%,50.00%,48.60%,
TZA,United Republic of Tanzania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
USA,United States,1.6932608696,2.685862069,2.685862069,2.1739130435,3.4482758621,3.4482758621,182.1956521739,289,289,6724978.26086957,10667206.8965517,10667206.8965517,328.1304347826,520.4827586207,520.4827586207,221.7391304348,351.724137931,351.724137931,4.1691304348,6.6131034483,6.6131034483,19.93%,15.13%,16.01%,
URY,Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66%,3.29%,4.49%,
UZB,Uzbekistan,67,0,22.3333333333,82,0,27.3333333333,325,0,108.3333333333,28228000,0,9409333.33333333,45.359432355,0,15.119810785,319,0,106.3333333333,10.96,0,3.6533333333,25.25%,20.39%,20.22%,
VUT,Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.65%,6.25%,5.06%,
VEN,Venezuela,N/A,N/A,N/A,83,0,0,396,0,0,28834000,0,0,316.482,0,0,293,0,0,98.63,0,0,4.65%,6.25%,5.06%,
VNM,Viet nam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.25%,20.39%,20.22%,
YEM,Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.25%,20.39%,20.22%,
ZAM,Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
ZWE,Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65%,3.95%,3.09%,
